[2024-09-29 10:08:43,123] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,129] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,137] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,144] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,152] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,161] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,164] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,175] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,180] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,184] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,187] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,194] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,201] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,209] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,217] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,225] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,232] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,238] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,245] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,254] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,258] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 700 with partition epoch 0, high watermark 700, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,262] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,272] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,280] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,285] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,289] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,301] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,306] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,313] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,317] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,324] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,334] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,625] INFO [Broker id=0] Finished LeaderAndIsr request in 1010ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2024-09-29 10:08:43,762] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 5 with correlation id 2 (state.change.logger)
